('Alex Rogers', 'BARBARIAN', 'HALFLING', 15187, 20)
('Heidi Chandler', 'FIGHTER', 'DRAGONBORN', 12890, 9)
('Jason Patterson', 'WIZARD', 'HALF_ELF', 11134, 8)
('Brittany Patterson', 'BARD', 'ELF', 2271, 3)
('Debra Rangel', 'ARTIFICER', 'HALF_ELF', 6096, 10)
('Priscilla Hamilton', 'ROGUE', 'HALF_ORC', 16794, 11)
('Jasmine Adkins', 'CLERIC', 'DWARF', 5569, 5)
('Amber Espinoza', 'PALADIN', 'GNOME', 11807, 6)
('Dylan Humphrey', 'SORCERER', 'DWARF', 7526, 6)
('Travis Hardy', 'MONK', 'TIEFLING', 17375, 4)
('Christine Golden', 'RANGER', 'HUMAN', 13305, 10)
('Victoria Lucas', 'CLERIC', 'DWARF', 15295, 8)
('Sheila Wallace', 'RANGER', 'TIEFLING', 13854, 10)
('James Hawkins', 'PALADIN', 'DRAGONBORN', 11398, 18)
('Shawn Vang', 'ROGUE', 'HALF_ORC', 2392, 17)
('Lisa Garcia', 'RANGER', 'HALF_ELF', 18032, 7)
('Monica Nash', 'PALADIN', 'GNOME', 14861, 6)
('Mary Lang', 'MONK', 'HALFLING', 12217, 3)
('Kristin Mcdaniel', 'WARLOCK', 'GNOME', 8349, 13)
('Jonathan Peterson DDS', 'WIZARD', 'HALFLING', 10934, 2)
('Kenneth Costa', 'CLERIC', 'HALFLING', 5352, 17)
('Megan Miller', 'PALADIN', 'ELF', 6006, 2)
('Natalie Rogers', 'RANGER', 'TIEFLING', 1195, 17)
('Andrew Morgan', 'FIGHTER', 'DRAGONBORN', 18534, 17)
('Michelle Shepherd', 'DRUID', 'HALFLING', 8907, 16)
('Leslie Rodriguez', 'BARD', 'HUMAN', 8151, 2)
('Steven Hernandez', 'BARBARIAN', 'HALF_ELF', 9953, 1)
('Carolyn Jenkins', 'BARBARIAN', 'ELF', 14463, 17)
('Samantha Parrish', 'RANGER', 'GNOME', 4140, 1)
('Alison Schwartz', 'PALADIN', 'ELF', 1533, 5)
('Peter Cole', 'MONK', 'TIEFLING', 2545, 19)
('Jacob Miller', 'BARD', 'ELF', 18159, 20)
('Audrey Hunt', 'PALADIN', 'GNOME', 5439, 1)
('Connie Harrison', 'CLERIC', 'DRAGONBORN', 3678, 8)
('Cameron Davis', 'WIZARD', 'GNOME', 3848, 5)
('Michelle Fletcher', 'ROGUE', 'GNOME', 391, 5)
('Danielle Delgado', 'PALADIN', 'DWARF', 14746, 3)
('Megan Jones', 'SORCERER', 'HUMAN', 18006, 8)
('Cynthia Hudson', 'DRUID', 'TIEFLING', 15780, 11)
('Donald Montes', 'SORCERER', 'HALFLING', 10607, 5)
('Jennifer Marshall', 'ARTIFICER', 'HALF_ORC', 10596, 14)
('John Reese', 'RANGER', 'GNOME', 82, 9)
('David Mills', 'SORCERER', 'DWARF', 11046, 6)
('Timothy Parker', 'SORCERER', 'DWARF', 17570, 12)
('Tina Barajas', 'PALADIN', 'HALF_ELF', 449, 12)
('Andrew Conley', 'ARTIFICER', 'HUMAN', 17256, 3)
('Tanya Drake', 'BARBARIAN', 'DWARF', 15232, 14)
('Brenda Martinez', 'WIZARD', 'ELF', 16508, 2)
('Stacey Lin', 'BARBARIAN', 'GNOME', 3621, 7)
('Jennifer Patterson', 'BARD', 'HUMAN', 1439, 18)
('John Quinn', 'ARTIFICER', 'HUMAN', 10299, 13)
('Vicki Bradshaw', 'BARD', 'TIEFLING', 13863, 16)
('Angela Curry', 'ROGUE', 'HALF_ELF', 11433, 4)
('Matthew Erickson', 'SORCERER', 'HALF_ELF', 17025, 4)
('Ashley Weber', 'SORCERER', 'HALFLING', 13181, 12)
('John Powers', 'DRUID', 'HALFLING', 12712, 8)
('Donald Camacho', 'BARD', 'GNOME', 19260, 8)
('Mark Kennedy', 'RANGER', 'DRAGONBORN', 2842, 2)
('Tara Everett', 'SORCERER', 'TIEFLING', 18806, 14)
('Emily Mcclain', 'BARBARIAN', 'HALF_ELF', 8749, 8)
('Billy Mills', 'CLERIC', 'DRAGONBORN', 14693, 9)
('Kevin Edwards', 'SORCERER', 'HALF_ELF', 9868, 2)
('Robert Fletcher', 'MONK', 'HALF_ELF', 163, 6)
('Charles Stewart', 'BARBARIAN', 'ELF', 7282, 5)
('Becky Juarez', 'PALADIN', 'DWARF', 18153, 15)
('Diana Hicks', 'ARTIFICER', 'HALF_ORC', 845, 7)
('Shirley Jennings', 'PALADIN', 'GNOME', 19058, 6)
('Jamie Allen', 'FIGHTER', 'ELF', 18971, 20)
('Gary Hunt', 'WIZARD', 'TIEFLING', 864, 5)
('Laura Lucas', 'ROGUE', 'TIEFLING', 19666, 13)
('Matthew Flynn', 'BARBARIAN', 'HALF_ORC', 10639, 13)
('Nicole Stuart', 'ARTIFICER', 'HALF_ELF', 981, 13)
('Shannon Sanders', 'CLERIC', 'HALF_ORC', 12182, 7)
('Colin Leblanc', 'WIZARD', 'HUMAN', 7318, 5)
('Alison Yang', 'BARBARIAN', 'DWARF', 8681, 8)
('Erin Ellis', 'RANGER', 'DRAGONBORN', 7153, 4)
('Erin Garcia', 'WIZARD', 'HALFLING', 5818, 19)
('Melissa Peters', 'BARBARIAN', 'DRAGONBORN', 11985, 16)
('Ana Crawford', 'MONK', 'HALF_ELF', 18333, 5)
('Erica Fitzgerald', 'WARLOCK', 'HALF_ELF', 9417, 9)
('Steve Thomas', 'PALADIN', 'GNOME', 12504, 2)
('Brittany Roberts', 'PALADIN', 'DWARF', 12148, 11)
('Angela Davila', 'DRUID', 'GNOME', 6388, 14)
('Kenneth Richards', 'SORCERER', 'HALFLING', 12845, 9)
('Janet Graham', 'WARLOCK', 'HALF_ELF', 3527, 11)
('Amber Wilson', 'WIZARD', 'GNOME', 15278, 13)
('Veronica Nelson', 'BARBARIAN', 'HUMAN', 9522, 13)
('Andrew Phillips', 'SORCERER', 'DRAGONBORN', 8028, 11)
('Gloria Hernandez', 'CLERIC', 'HALF_ORC', 16327, 13)
('Dr. Pamela Melton', 'PALADIN', 'TIEFLING', 7684, 4)
('Crystal Hines', 'BARBARIAN', 'TIEFLING', 19205, 19)
('Melissa Gardner', 'SORCERER', 'DRAGONBORN', 1072, 2)
('Cory Knight', 'ARTIFICER', 'DRAGONBORN', 18482, 16)
('Ryan Saunders', 'SORCERER', 'TIEFLING', 2908, 18)
('Alicia Ray', 'BARBARIAN', 'HUMAN', 9412, 14)
('Kevin Calderon', 'SORCERER', 'HUMAN', 10112, 13)
('Kimberly Williams', 'ARTIFICER', 'HALFLING', 1768, 7)
('Kellie Kim', 'BARBARIAN', 'HALFLING', 145, 1)
('Charles Davis', 'RANGER', 'ELF', 13, 11)
('Jennifer Carpenter', 'RANGER', 'HALF_ORC', 5644, 2)
('Robert Thomas', 'BARBARIAN', 'HALF_ELF', 16334, 19)
('Elizabeth Richards', 'SORCERER', 'DWARF', 11650, 18)
('Anthony Acosta', 'FIGHTER', 'TIEFLING', 9398, 20)
('Jake Welch Jr.', 'PALADIN', 'HUMAN', 3985, 19)
('John Reyes', 'ARTIFICER', 'HALFLING', 14408, 12)
('Timothy Ross', 'PALADIN', 'HALF_ELF', 11191, 9)
('Troy Kim', 'CLERIC', 'HALF_ELF', 16293, 13)
('Anthony Townsend', 'FIGHTER', 'ELF', 650, 12)
('Shelby Cooper', 'MONK', 'HUMAN', 13029, 18)
('Maria Patterson', 'ARTIFICER', 'ELF', 5795, 11)
('Brittany Brown', 'BARBARIAN', 'TIEFLING', 14071, 18)
('Charles Hill', 'FIGHTER', 'HUMAN', 13462, 5)
('Wendy Chavez', 'SORCERER', 'HALF_ORC', 6923, 16)
('Ryan Taylor', 'BARD', 'GNOME', 1863, 19)
('Timothy Garrett', 'CLERIC', 'TIEFLING', 18333, 16)
('Adam Santiago', 'SORCERER', 'HALF_ELF', 1916, 11)
('Christopher Walton', 'WARLOCK', 'HALF_ORC', 12528, 1)
('Sylvia James', 'RANGER', 'HUMAN', 8776, 10)
('Leslie Peters', 'WIZARD', 'DWARF', 8594, 18)
('Thomas Moody', 'MONK', 'HALF_ELF', 10592, 4)
('Joseph Stewart', 'RANGER', 'HALF_ORC', 17449, 9)
('Ms. Jill Pope DDS', 'SORCERER', 'DWARF', 7677, 11)
('Erin Tucker', 'WARLOCK', 'GNOME', 1621, 18)
('Danielle Evans', 'RANGER', 'TIEFLING', 7733, 7)
('Kimberly Donovan', 'WARLOCK', 'ELF', 9258, 11)
('Angela Gonzalez', 'WARLOCK', 'ELF', 19440, 15)
('George Garcia', 'ARTIFICER', 'HALF_ORC', 9271, 19)
('Jonathan Larson', 'BARD', 'HALF_ELF', 3848, 15)
('Kara Taylor', 'BARBARIAN', 'ELF', 15781, 8)
('Jason Wilson', 'CLERIC', 'HALF_ORC', 507, 14)
('Amanda Pope', 'DRUID', 'TIEFLING', 16717, 5)
('Maria Thomas', 'DRUID', 'HALF_ELF', 5489, 9)
('Julia Shaw', 'PALADIN', 'DWARF', 8144, 8)
('James Lutz', 'WIZARD', 'DWARF', 15942, 8)
('Christine Bryant', 'ROGUE', 'HALF_ELF', 13918, 19)
('Michael Williams', 'ROGUE', 'HALF_ORC', 4125, 17)
('Yvonne Green', 'BARD', 'DWARF', 11729, 10)
('Frank Vega', 'PALADIN', 'HALFLING', 3798, 6)
('Jessica Howard', 'BARBARIAN', 'TIEFLING', 1022, 16)
('Victor Sanchez', 'CLERIC', 'HALFLING', 3450, 6)
('Sara Dean', 'BARD', 'GNOME', 13271, 5)
('Brian Martinez', 'MONK', 'HALF_ORC', 12344, 17)
('Thomas Ramos', 'SORCERER', 'HALF_ORC', 3213, 3)
('Randall Campbell', 'WIZARD', 'GNOME', 1771, 14)
('Ruth Hart', 'WIZARD', 'TIEFLING', 953, 6)
('Christopher Perez', 'PALADIN', 'HALF_ELF', 15295, 9)
('Jonathan Berry', 'DRUID', 'HALF_ELF', 19534, 6)
('Lee Maxwell', 'BARD', 'DWARF', 7061, 7)
('Alex Thompson', 'BARBARIAN', 'DWARF', 16154, 10)
('Timothy Schmidt', 'MONK', 'HUMAN', 13312, 17)
('Melissa Coleman', 'WARLOCK', 'DRAGONBORN', 17778, 12)
('James Caldwell', 'RANGER', 'TIEFLING', 411, 4)
('Lee Woods', 'SORCERER', 'TIEFLING', 13461, 8)
('Julia Mcgrath', 'MONK', 'ELF', 11936, 4)
('Judy Holland', 'ROGUE', 'DWARF', 6346, 15)
('Terry Bates', 'SORCERER', 'ELF', 775, 9)
('John Murphy', 'ARTIFICER', 'DRAGONBORN', 18923, 9)
('Stacey Roth', 'BARBARIAN', 'HUMAN', 4847, 11)
('Ashley Campos', 'BARBARIAN', 'HALFLING', 1360, 3)
('Dawn Powers', 'DRUID', 'HALFLING', 14735, 6)
('Heather Huff', 'BARBARIAN', 'HALFLING', 6252, 2)
('Brittney Newman', 'WARLOCK', 'HALFLING', 13499, 13)
('Ashley Conrad', 'BARBARIAN', 'GNOME', 13255, 2)
('Michael Taylor', 'ROGUE', 'HALF_ELF', 8914, 7)
('Michael Lawson', 'BARD', 'HALF_ORC', 7498, 12)
('Harold Ramirez', 'RANGER', 'HALFLING', 4182, 5)
('Roger Bridges', 'BARBARIAN', 'DRAGONBORN', 15623, 1)
('Lori Moore', 'ROGUE', 'DRAGONBORN', 15944, 16)
('Tara Craig', 'ARTIFICER', 'DWARF', 12401, 17)
('James French', 'FIGHTER', 'DRAGONBORN', 8382, 3)
('Regina Welch', 'DRUID', 'HUMAN', 9768, 20)
('Marie Roberts', 'ARTIFICER', 'DRAGONBORN', 9418, 16)
('Jose Johnson', 'BARD', 'DWARF', 5131, 3)
('Mr. Julian Combs III', 'ARTIFICER', 'DWARF', 18741, 2)
('Amber Adams', 'FIGHTER', 'DRAGONBORN', 18126, 2)
('Kevin Norman', 'PALADIN', 'TIEFLING', 17520, 5)
('Jeffrey Morrison', 'WIZARD', 'ELF', 3023, 16)
('Brian Jones', 'MONK', 'DWARF', 9407, 7)
('Todd Murphy', 'PALADIN', 'DWARF', 4654, 13)
('Leslie Hopkins', 'BARD', 'HUMAN', 6374, 16)
('Brandi Cross', 'MONK', 'HALFLING', 8324, 11)
('Jamie Robertson', 'ROGUE', 'DWARF', 9331, 6)
('Dorothy Allen', 'PALADIN', 'GNOME', 18412, 4)
('Rita Wright', 'WARLOCK', 'DWARF', 3692, 9)
('Carrie Moore', 'PALADIN', 'HALFLING', 17311, 18)
('Cheryl Howell', 'MONK', 'DRAGONBORN', 14427, 6)
('Mrs. Robin Shaw', 'ARTIFICER', 'HUMAN', 15262, 16)
('Rodney Jones', 'RANGER', 'DWARF', 13292, 6)
('Jill Cantrell', 'BARD', 'HALF_ELF', 6818, 19)
('Pamela Perez', 'WARLOCK', 'DWARF', 3781, 20)
('John Jackson', 'WARLOCK', 'HALF_ELF', 4802, 5)
('Sheila Ray', 'CLERIC', 'TIEFLING', 2926, 11)
('Dustin Jones', 'ROGUE', 'ELF', 9495, 14)
('Matthew Jackson', 'WARLOCK', 'GNOME', 4368, 3)
('Patricia Guzman', 'CLERIC', 'TIEFLING', 17186, 18)
('Rebecca Lee', 'RANGER', 'DRAGONBORN', 13925, 17)
('Todd Holt', 'BARBARIAN', 'GNOME', 10458, 1)
('Michael Robinson', 'CLERIC', 'HALF_ORC', 13043, 1)
('Yesenia Banks', 'MONK', 'HALFLING', 13363, 14)
('David Shepherd', 'WARLOCK', 'HALFLING', 4355, 15)
('Janet Gomez', 'WIZARD', 'HALFLING', 15890, 18)
('Morgan Thompson', 'RANGER', 'GNOME', 10259, 13)
('Andrew Knight', 'MONK', 'HUMAN', 11668, 16)
('Christopher Rodriguez', 'DRUID', 'HUMAN', 5278, 4)
('Ronald Mcconnell', 'ROGUE', 'GNOME', 9835, 15)
('Antonio Harris', 'CLERIC', 'DWARF', 7255, 19)
('Leah Jackson', 'BARBARIAN', 'HALF_ELF', 6872, 13)
('Anne Whitaker', 'ARTIFICER', 'HALF_ORC', 17429, 13)
('Marisa Stevenson', 'CLERIC', 'HALF_ELF', 5439, 3)
('Natalie Johnson', 'ROGUE', 'TIEFLING', 7286, 10)
('Alicia Holt', 'ROGUE', 'TIEFLING', 5200, 2)
('David Blackwell', 'DRUID', 'DWARF', 6392, 17)
('Scott Vega', 'BARBARIAN', 'GNOME', 7056, 5)
('Scott Waters', 'BARD', 'DRAGONBORN', 18610, 3)
('Amy Elliott', 'MONK', 'GNOME', 11779, 7)
('Christopher Carpenter', 'ROGUE', 'HALFLING', 11869, 10)
('Dustin Welch', 'BARD', 'HALFLING', 15002, 6)
('Cynthia Collins', 'WARLOCK', 'TIEFLING', 18657, 7)
('Ms. Lori Ward', 'PALADIN', 'DRAGONBORN', 4860, 2)
('Ronald Wilkins', 'DRUID', 'HALF_ELF', 14059, 17)
('Ashley Wright DVM', 'BARD', 'ELF', 9448, 7)
('Robin Benson', 'BARD', 'HUMAN', 13594, 9)
('Jessica Alexander', 'WARLOCK', 'DRAGONBORN', 18836, 19)
('Dustin Shaw MD', 'WIZARD', 'DWARF', 10976, 9)
('Robert Barnes', 'ARTIFICER', 'ELF', 14649, 19)
('Matthew Marks', 'SORCERER', 'DRAGONBORN', 10619, 7)
('Alicia Mccoy', 'BARBARIAN', 'HUMAN', 7539, 5)
('Lisa Hess', 'DRUID', 'ELF', 18302, 18)
('April Hall', 'FIGHTER', 'DWARF', 8431, 1)
('Jonathan Hopkins', 'BARBARIAN', 'ELF', 1894, 5)
('Michael Richards', 'WARLOCK', 'GNOME', 16783, 9)
('Penny Miller', 'WARLOCK', 'HALF_ELF', 10172, 18)
('Scott Graham', 'BARD', 'HUMAN', 4325, 12)
('Valerie Zamora', 'WARLOCK', 'HUMAN', 12313, 17)
('Juan Rhodes', 'RANGER', 'HALF_ORC', 11752, 3)
('Cindy Burnett', 'WARLOCK', 'HALF_ORC', 13860, 11)
('James Taylor', 'SORCERER', 'TIEFLING', 9056, 12)
('Edward Richards', 'CLERIC', 'DRAGONBORN', 16192, 18)
('Tina Sandoval', 'SORCERER', 'DRAGONBORN', 3160, 15)
('Richard Lawrence', 'ROGUE', 'ELF', 3245, 6)
('Tiffany Campbell', 'DRUID', 'HUMAN', 7524, 9)
('Michelle Williams', 'PALADIN', 'HALF_ORC', 2811, 4)
('Carl Rojas II', 'ARTIFICER', 'HALF_ELF', 1281, 13)
('Tracy Rodriguez', 'ARTIFICER', 'HALF_ORC', 8586, 17)
('Lauren Vega', 'FIGHTER', 'ELF', 17697, 2)
('Brandy Alvarado', 'FIGHTER', 'HUMAN', 17990, 20)
('Emily Dean', 'PALADIN', 'DWARF', 1235, 5)
('Jacob Pennington', 'CLERIC', 'HALFLING', 12125, 18)
('Heather Sandoval', 'MONK', 'DWARF', 11610, 7)
('Lisa Vasquez', 'ARTIFICER', 'DRAGONBORN', 11225, 18)
('Joseph Hughes', 'ROGUE', 'HUMAN', 15606, 9)
('Brian Houston', 'BARBARIAN', 'DWARF', 12806, 4)
('Christopher Shaffer', 'ROGUE', 'HALF_ELF', 18526, 1)
('Kenneth Jones', 'DRUID', 'ELF', 15110, 11)
('Sharon Anderson', 'ARTIFICER', 'HALFLING', 19113, 1)
('Mrs. Beverly Barnes', 'MONK', 'GNOME', 4196, 13)
('Ms. Nicole Vincent PhD', 'FIGHTER', 'HUMAN', 11549, 5)
('Bradley Morris', 'SORCERER', 'ELF', 3631, 1)
('Kathleen Coleman', 'PALADIN', 'DRAGONBORN', 3598, 4)
('Joshua Weaver', 'FIGHTER', 'TIEFLING', 19655, 1)
('Mark Morgan', 'CLERIC', 'TIEFLING', 1511, 5)
('Patricia Lee', 'PALADIN', 'DRAGONBORN', 8631, 19)
('Brandon Dennis', 'PALADIN', 'HUMAN', 7926, 20)
('Jacob Porter', 'WIZARD', 'HUMAN', 19762, 20)
('John Haas', 'SORCERER', 'ELF', 10391, 4)
('Randy Castillo', 'BARD', 'HALF_ORC', 2031, 10)
('Dana Williams', 'WIZARD', 'HALF_ORC', 19600, 18)
('Jeffrey Dawson', 'BARD', 'TIEFLING', 16336, 20)
('Mitchell Willis', 'SORCERER', 'GNOME', 2410, 13)
('Kevin Dickson', 'CLERIC', 'DWARF', 1738, 16)
('Kim Fowler', 'MONK', 'ELF', 15319, 3)
('Andrew Benitez', 'FIGHTER', 'DRAGONBORN', 12969, 4)
('Kevin Lamb', 'FIGHTER', 'HALFLING', 3622, 4)
('Sarah Villa', 'RANGER', 'GNOME', 19688, 1)
('Anthony Spencer', 'ROGUE', 'DWARF', 10138, 5)
('Kathryn Barron', 'FIGHTER', 'HALFLING', 11782, 5)
('Marissa Smith', 'MONK', 'GNOME', 11087, 5)
('Sean Mcintyre DVM', 'BARD', 'GNOME', 11750, 10)
('Donald Bowman MD', 'SORCERER', 'DWARF', 5620, 9)
('Carly Dawson', 'CLERIC', 'GNOME', 4976, 11)
('Renee Johnson', 'SORCERER', 'DWARF', 1152, 1)
('Todd Williamson', 'ROGUE', 'HALFLING', 11757, 16)
('Darrell Smith', 'BARD', 'DWARF', 14144, 11)
('William Graham', 'PALADIN', 'HALF_ELF', 10031, 4)
('Julie Harper', 'FIGHTER', 'HUMAN', 4883, 15)
('Dustin Wood', 'ARTIFICER', 'ELF', 5497, 4)
('Daniel Cortez', 'RANGER', 'DRAGONBORN', 11256, 5)
('Kimberly Hines', 'BARD', 'DRAGONBORN', 3645, 7)
('Dr. Shari Lucas', 'ARTIFICER', 'ELF', 8123, 10)
('Chloe Mack', 'CLERIC', 'HALF_ELF', 6853, 3)
('Julia Martin', 'RANGER', 'GNOME', 19861, 12)
('Christian Baker', 'DRUID', 'GNOME', 16900, 11)
('Caroline Adams', 'WIZARD', 'DWARF', 9491, 6)
('Jason Leach', 'PALADIN', 'ELF', 7539, 7)
('Kimberly Diaz', 'PALADIN', 'HUMAN', 12724, 17)
('Mary White', 'FIGHTER', 'ELF', 4676, 1)
('Johnny Landry', 'SORCERER', 'HALFLING', 13342, 3)
('Thomas Powell', 'WIZARD', 'HALF_ELF', 3949, 5)
('Breanna Miller', 'ARTIFICER', 'DWARF', 6123, 9)
('Angela Torres', 'WIZARD', 'DWARF', 1994, 19)
('Brett Russell', 'BARBARIAN', 'HUMAN', 4943, 8)
('Pamela Morgan', 'BARBARIAN', 'HALFLING', 5624, 19)
('Bryan Stuart', 'WARLOCK', 'ELF', 6615, 17)
('Michelle Aguilar', 'SORCERER', 'HUMAN', 15643, 5)
('Manuel Moran', 'CLERIC', 'GNOME', 19489, 7)
('Melissa Soto', 'FIGHTER', 'DRAGONBORN', 5150, 5)
('Cheryl Green', 'DRUID', 'HALF_ORC', 19171, 4)
('Katrina Davis', 'CLERIC', 'GNOME', 13934, 10)
('Brandon Luna', 'BARBARIAN', 'HALFLING', 8753, 17)
('Monica Ali', 'ROGUE', 'DWARF', 7347, 14)
('Kristina Peters', 'PALADIN', 'DRAGONBORN', 10075, 16)
('Danielle Hammond', 'FIGHTER', 'HALFLING', 15720, 8)
('Rachel Calhoun', 'BARBARIAN', 'DRAGONBORN', 898, 4)
('Ann Ortiz', 'PALADIN', 'HALF_ELF', 10793, 17)
('Candice Martin', 'FIGHTER', 'HALF_ELF', 15946, 1)
('Marcus Wells', 'BARD', 'DRAGONBORN', 12578, 5)
('Dr. Ruth Ford MD', 'FIGHTER', 'DWARF', 16985, 14)
('Jimmy Sullivan', 'ROGUE', 'DRAGONBORN', 14368, 12)
('Danielle Martinez', 'FIGHTER', 'GNOME', 1616, 20)
('Amy Warner', 'ARTIFICER', 'TIEFLING', 17173, 3)
('Troy Jones', 'BARBARIAN', 'HALF_ELF', 13023, 6)
('Kyle George', 'ROGUE', 'HALF_ELF', 13588, 20)
('Joseph Gibson', 'PALADIN', 'TIEFLING', 11168, 3)
('Jason Smith', 'MONK', 'GNOME', 12280, 16)
('Jennifer White DVM', 'BARD', 'DRAGONBORN', 10405, 5)
('Daniel Fischer', 'ARTIFICER', 'HALF_ORC', 5868, 17)
('Darrell Burch', 'WIZARD', 'ELF', 14545, 16)
('Joshua Davidson', 'FIGHTER', 'HUMAN', 4598, 6)
('Meghan Navarro', 'RANGER', 'ELF', 16555, 19)
('Christina Vazquez', 'MONK', 'HALFLING', 15742, 9)
('Amy Stevenson', 'MONK', 'HALFLING', 7391, 4)
('William Olson', 'DRUID', 'HALF_ORC', 11831, 6)
('Darlene Hall', 'ROGUE', 'HALF_ORC', 14121, 14)
('Mrs. Tamara Russell', 'BARBARIAN', 'TIEFLING', 15995, 14)
('James Shields', 'PALADIN', 'HALF_ELF', 4635, 20)
('Cheryl Cole', 'DRUID', 'TIEFLING', 12684, 20)
('Erica Nichols', 'CLERIC', 'DWARF', 830, 2)
('Michael Allen', 'DRUID', 'DRAGONBORN', 1274, 17)
('Gregory Zamora', 'PALADIN', 'HALF_ELF', 6809, 14)
('Joanne Rojas', 'MONK', 'HALF_ELF', 19638, 5)
('Mrs. Tracy Clay', 'DRUID', 'DRAGONBORN', 9380, 14)
('Amanda Romero', 'WARLOCK', 'ELF', 2196, 18)
('Christopher Decker', 'ARTIFICER', 'TIEFLING', 14054, 1)
('Jeffrey Williams', 'CLERIC', 'ELF', 9045, 7)
('Timothy Jackson MD', 'ARTIFICER', 'DWARF', 10974, 6)
('Mr. Gary Richardson MD', 'MONK', 'HUMAN', 3608, 9)
('Sheila Medina', 'ROGUE', 'HALFLING', 3418, 19)
('Allison Moody', 'RANGER', 'ELF', 2595, 9)
('Dean Ritter', 'ROGUE', 'ELF', 11425, 15)
('Linda Howard', 'FIGHTER', 'TIEFLING', 16341, 4)
('David Harrison', 'RANGER', 'DRAGONBORN', 7746, 19)
('Steven Gordon', 'PALADIN', 'HALF_ELF', 19080, 3)
('Lori Barnes', 'MONK', 'DWARF', 16021, 11)
('Aaron Walter', 'FIGHTER', 'DWARF', 17694, 10)
('Daniel Parsons', 'DRUID', 'DWARF', 12460, 5)
('Rebecca Myers', 'BARD', 'TIEFLING', 11558, 7)
('Courtney Schneider', 'DRUID', 'GNOME', 10212, 20)
('Shannon Robinson', 'PALADIN', 'HALFLING', 4952, 8)
('Ivan Hall', 'WARLOCK', 'ELF', 15043, 18)
('Patricia Brooks', 'ARTIFICER', 'HUMAN', 15803, 13)
('Mark Lynch', 'ARTIFICER', 'HALF_ELF', 12448, 17)
('Thomas Ortega', 'ROGUE', 'HUMAN', 1416, 18)
('Carol Watkins', 'PALADIN', 'HALF_ELF', 16638, 15)
('Ashley Smith', 'PALADIN', 'DRAGONBORN', 19985, 14)
('Susan Mcfarland', 'ARTIFICER', 'HALF_ELF', 3720, 12)
('Katherine Jones', 'ARTIFICER', 'DWARF', 14778, 20)
('April Burke', 'BARBARIAN', 'DWARF', 11646, 12)
('Eric Taylor', 'CLERIC', 'TIEFLING', 16279, 16)
('Christopher Daniel', 'DRUID', 'HUMAN', 7866, 3)
('Sarah Marquez', 'FIGHTER', 'HALF_ORC', 563, 11)
('Russell Graham', 'SORCERER', 'HALF_ELF', 17063, 1)
('Jose Mitchell', 'SORCERER', 'HUMAN', 4725, 8)
('Michelle Moran', 'ARTIFICER', 'TIEFLING', 18105, 16)
('Andrew Savage', 'FIGHTER', 'HUMAN', 18376, 17)
('Timothy Crawford', 'WIZARD', 'TIEFLING', 9922, 20)
('Troy Davis', 'MONK', 'DWARF', 5350, 14)
('Justin Romero', 'BARBARIAN', 'HALF_ORC', 13163, 20)
('Brian Galloway', 'CLERIC', 'HALF_ELF', 17659, 4)
('Matthew Henderson', 'FIGHTER', 'ELF', 2302, 19)
('Amber Hughes', 'WARLOCK', 'TIEFLING', 5502, 2)
('Eric Warren', 'WIZARD', 'DWARF', 2357, 11)
('Taylor Rios', 'BARD', 'HALFLING', 8961, 20)
('Rachel Newton', 'ARTIFICER', 'ELF', 18540, 10)
('Jacqueline Davis', 'MONK', 'GNOME', 12072, 20)
('Christopher Johnson', 'ROGUE', 'HALF_ORC', 16478, 5)
('Mathew Scott', 'RANGER', 'GNOME', 1129, 7)
('Andrea Ford', 'ARTIFICER', 'HUMAN', 3514, 11)
('Donna Rogers', 'BARBARIAN', 'ELF', 14625, 19)
('Steven Romero', 'ARTIFICER', 'HALF_ORC', 8455, 12)
('Jessica Miranda', 'DRUID', 'HALF_ORC', 10621, 4)
('Lori Molina', 'CLERIC', 'HUMAN', 9681, 14)
('Beth Williams', 'BARBARIAN', 'HALFLING', 5380, 12)
('Randall Roberts', 'ARTIFICER', 'HALF_ORC', 16994, 18)
('Terry Chambers', 'MONK', 'ELF', 15384, 14)
('Ryan Lang', 'WARLOCK', 'TIEFLING', 3293, 2)
('Stephanie Rodriguez', 'ROGUE', 'DRAGONBORN', 16211, 2)
('Richard Phillips', 'FIGHTER', 'HALF_ELF', 11682, 18)
('Robert Williams', 'DRUID', 'HUMAN', 6598, 4)
('Kelly Burton', 'BARBARIAN', 'HUMAN', 12057, 6)
('Patricia Garcia', 'RANGER', 'HALFLING', 4954, 18)
('Thomas Johnson', 'WARLOCK', 'HUMAN', 2932, 2)
('Catherine Brock', 'FIGHTER', 'DWARF', 6852, 16)
('Stephanie Carter', 'WARLOCK', 'HALF_ELF', 17049, 3)
('Mallory Gay', 'RANGER', 'HUMAN', 2141, 12)
('Katherine Walker', 'WIZARD', 'HALF_ORC', 19101, 2)
('Brian Lam', 'FIGHTER', 'ELF', 9742, 20)
('Julie Matthews', 'MONK', 'HALFLING', 1661, 6)
('Sarah Ellis', 'SORCERER', 'DRAGONBORN', 11580, 1)
('Michael Blair', 'RANGER', 'ELF', 14136, 4)
('Emily Knight', 'SORCERER', 'DWARF', 7501, 13)
('April Price', 'SORCERER', 'TIEFLING', 5044, 8)
('Daniel Hurst', 'PALADIN', 'DRAGONBORN', 14666, 17)
('Timothy Cole', 'WARLOCK', 'TIEFLING', 110, 3)
